ID,VALUE,LAT,LON,SIZE
NOE00111354,3.0343835616438355,70.7006,30.0681,3.8134880359691627
NOE00111372,-4.456986301369863,77.8831,16.7167,5.601356450647497
NOE00111381,6.754361370716511,66.0,2.0,8.488602628695308
NOE00112071,7.355799086757991,63.5,10.89,9.244464729814222
NOE00112080,4.929315068493151,69.3,16.1497,6.194959752892165
NOE00112089,4.952876712328767,64.16,12.47,6.224571054512261
NOE00133002,7.612390670553936,58.6581,8.6314,9.566938443192145
NOE00133014,11.93546511627907,58.34,8.5225,15.0
NOE00133098,4.564794520547945,60.7192,8.9475,5.73684537143246
NOE00133110,3.172328767123288,69.9775,23.3581,3.986851877430991
NOE00133470,5.883423913043478,59.8339,6.9914,7.394044374130338
NOE00133566,7.837397260273973,62.1031,5.5817,9.8497174394792
NOE00133650,8.330136986301369,62.3292,5.2681,10.468972392545925
NOE00133746,8.163424657534247,62.5617,6.115,10.259455217710729
NOE00134094,7.2949315068493155,65.2019,10.9964,9.167968867295647
NOE00134118,1.7516438356164383,61.6514,10.1083,2.2013936849775493
NOE00134214,3.9324483775811205,61.1217,9.0631,4.942138834896629
NOE00134418,8.444520547945206,59.4839,5.7506,10.61272493238766
NOE00134454,11.276038338658147,61.2928,5.0442,14.171259639406701
NOE00134538,7.737397260273973,61.7881,6.1833,9.72404156632415
NOE00134682,7.854931506849316,64.4014,10.455,9.871753756963923
NOE00134742,7.819306184012066,63.8467,8.4667,9.826981321423903
NOE00134778,-4.273287671232877,78.923,11.9331,5.3704915932489765
NOE00134802,2.6032876712328767,59.8394,8.1792,3.271704511559658
NOE00134886,5.501641586867305,69.6006,17.8372,6.914236102156776
NOE00134898,4.153881278538813,69.6767,18.9131,5.220426566627763
NOE00134934,4.315068493150685,69.8333,21.8842,5.4230000060055366
NOE00135018,8.226712328767123,59.23,10.3481,10.338992551132144
NOE00156763,5.81041095890411,68.6481,15.2828,7.302284706499392
NOE00156988,6.735310734463277,66.3681,12.6442,8.464660575242464
NOE00157012,6.6632835820895515,66.7606,12.4775,8.374139822588067
NOM00001238,1.9773809523809525,62.1167,9.2831,2.4850907775063846
NOM00001389,4.324676724137931,61.183,11.367,5.435075234193513
NOM00001492,7.968356164383561,59.9428,10.7206,10.014301185693206
